,CODE,NAME,SECT.,STOCK NO.,CAPT.
322,042500,링네트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","15,216,878","7,608,439,000"
323,042510,라온시큐어,소프트웨어 개발 및 공급업,"31,809,612","15,904,806,000"
324,042520,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업,"9,996,820","4,998,410,000"
325,042600,새로닉스,전자부품 제조업,"12,423,574","6,211,787,000"
326,042940,상지카일룸,건물 건설업,"52,137,435","26,068,717,500"
327,043090,큐브앤컴퍼니,기타 전문 도매업,"32,590,313","16,295,156,500"
328,043100,솔고바이오,의료용 기기 제조업,"57,759,208","28,879,604,000"
329,043150,바텍,의료용 기기 제조업,"14,854,256","7,427,128,000"
330,043200,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","38,606,413","19,303,206,500"
331,043220,에이치엘비파워,특수 목적용 기계 제조업,"91,115,377","45,557,688,500"
332,043260,성호전자,전자부품 제조업,"35,598,043","17,799,021,500"
333,043290,케이맥,특수 목적용 기계 제조업,"37,161,291","3,716,129,100"
334,043340,에쎈테크,일반 목적용 기계 제조업,"72,000,000","36,000,000,000"
335,043360,디지아이,컴퓨터 및 주변장치 제조업,"9,000,000","4,500,000,000"
336,043370,평화정공,자동차 신품 부품 제조업,"21,000,000","10,500,000,000"
337,043590,크로바하이텍,반도체 제조업,"23,300,000","11,650,000,000"
338,043610,지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","58,115,438","29,057,719,000"
339,043650,국순당,알코올음료 제조업,"17,858,304","8,929,152,000"
340,043710,서울리거,기타 전문 도매업,"34,903,652","17,451,826,000"
341,043910,자연과환경,환경 정화 및 복원업,"53,149,357","26,574,678,500"
342,044060,조광ILI,일반 목적용 기계 제조업,"9,885,656","4,942,828,000"
343,044180,KD,건물 건설업,"78,353,304","39,176,652,000"
344,044340,위닉스,가정용 기기 제조업,"17,873,425","8,936,712,500"
345,044480,경남바이오파마,고무제품 제조업,"14,251,509","7,125,754,500"
346,044490,태웅,기타 금속 가공제품 제조업,"20,007,381","10,003,690,500"
347,044780,에이치케이,특수 목적용 기계 제조업,"18,505,787","9,252,893,500"
