Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
177,004140,동방,기타 운송관련 서비스업,"34,636,700","34,636,700,000",146.0,142.0,209.0,N/A,60.0,65.0,50.0,42.0,48.0,N/A
179,004170,신세계,종합 소매업,"9,845,181","49,225,905,000",3457.0,3974.0,4678.0,1108.0,1096.0,681.0,959.0,1942.0,33.0,143.0
180,004250,엔피씨,플라스틱제품 제조업,"36,720,000","21,000,000,000",167.0,149.0,198.0,N/A,89.0,65.0,-4.0,68.0,42.0,N/A
181,004270,남성,기타 전문 도매업,"36,212,160","18,106,080,000",72.0,10.0,5.0,N/A,10.0,5.0,-21.0,4.0,-2.0,N/A
182,004310,현대약품,의약품 제조업,"32,000,000","16,000,000,000",20.0,12.0,16.0,N/A,4.0,5.0,3.0,3.0,38.0,N/A
183,004360,세방,도로 화물 운송업,"19,308,690","11,498,970,000",115.0,114.0,161.0,N/A,60.0,52.0,9.0,65.0,51.0,N/A
184,004370,농심,기타 식품 제조업,"6,082,642","30,413,210,000",964.0,886.0,788.0,1652.0,82.0,186.0,204.0,636.0,414.0,319.0
185,004380,삼익THK,일반 목적용 기계 제조업,"21,000,000","10,500,000,000",349.0,255.0,75.0,N/A,24.0,15.0,16.0,31.0,38.0,N/A
186,004410,서울식품공업,기타 식품 제조업,"337,410,000","33,963,450,000",9,11,4.0,N/A,7.0,-4.0,-9.0,3.0,2.0,N/A
187,004430,송원산업,기타 화학제품 제조업,"24,000,000","12,000,000,000",545.0,543.0,593.0,715.0,233.0,140.0,82.0,181.0,162.0,218.0
188,004440,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000",129.0,37,36.0,N/A,10.0,11.0,2.0,7.0,10.0,N/A
189,004450,삼화왕관,기타 금속 가공제품 제조업,"2,154,379","10,771,895,000",110.0,108.0,91.0,N/A,20.0,34.0,26.0,11.0,26.0,N/A
190,004490,세방전지,일차전지 및 축전지 제조업,"14,000,000","7,000,000,000",698.0,1113.0,1057.0,N/A,260.0,287.0,209.0,204.0,176.0,N/A
191,004540,깨끗한나라,"펄프, 종이 및 판지 제조업","37,240,693","37,606,853,000",-253,-292,51,N/A,-46.0,55.0,104.0,187.0,176.0,N/A
192,004560,현대비앤지스틸,1차 철강 제조업,"15,078,811","75,943,315,000",307.0,350.0,365.0,N/A,126.0,79.0,125.0,44.0,45.0,N/A
193,004690,삼천리,연료용 가스 제조 및 배관공급업,"4,055,025","20,275,125,000",611.0,839.0,856.0,783.0,64.0,7.0,72.0,645.0,23.0,-4.0
194,004700,조광피혁,"가죽, 가방 및 유사제품 제조업","6,649,138","34,245,690,000",246,150,158.0,N/A,54.0,47.0,29.0,33.0,25.0,N/A
195,004710,한솔테크닉스,전자부품 제조업,"32,109,878","160,549,390,000",305,156,255,340,82.0,120.0,-16.0,108.0,114.0,129.0
196,004720,우리들제약,의약품 제조업,"13,706,224","6,853,112,000",60,50,12,N/A,11.0,1.0,-6.0,-9.0,19.0,N/A
197,004770,써니전자,반도체 제조업,"34,845,011","18,372,505,500",13,6,42,N/A,-,21.0,17.0,5.0,6.0,N/A
