CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
004100,태양금속공업,자동차 신품 부품 제조업,"36,700,000","20,000,000,000",1075.0,N/A,-601.0,N/A,N/A,0.61,1771.0,0.47
004140,동방,기타 운송관련 서비스업,"34,636,700","34,636,700,000",1850.0,N/A,-234.0,N/A,N/A,0.69,2696.0,N/A
004170,신세계,종합 소매업,"9,845,181","49,225,905,000",207000.0,N/A,-14384.0,18.0,11443.0,0.54,386376.0,0.97
004250,엔피씨,플라스틱제품 제조업,"36,720,000","21,000,000,000",3410.0,8.63,395.0,N/A,N/A,0.5,6782.0,2.93
004270,남성,기타 전문 도매업,"36,212,160","18,106,080,000",2735.0,N/A,-110.0,N/A,N/A,0.99,2758.0,0.91
004310,현대약품,의약품 제조업,"32,000,000","16,000,000,000",6260.0,63.23,99.0,N/A,N/A,1.99,3152.0,0.72
004360,세방,도로 화물 운송업,"19,308,690","11,498,970,000",10100.0,42.08,240.0,N/A,N/A,0.28,36669.0,1.73
004370,농심,기타 식품 제조업,"6,082,642","30,413,210,000",376500.0,25.25,14911.0,17.0,21886.0,1.1,342527.0,1.06
004380,삼익THK,일반 목적용 기계 제조업,"21,000,000","10,500,000,000",10200.0,73.91,138.0,N/A,N/A,1.14,8960.0,1.47
004410,서울식품공업,기타 식품 제조업,"337,410,000","33,963,450,000",156.0,N/A,-8.0,N/A,N/A,2.14,73.0,N/A
004430,송원산업,기타 화학제품 제조업,"24,000,000","12,000,000,000",13200.0,8.55,1544.0,N/A,N/A,0.71,18466.0,1.14
004440,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000",7680.0,60.0,128.0,N/A,N/A,0.35,21888.0,0.5
004450,삼화왕관,기타 금속 가공제품 제조업,"2,154,379","10,771,895,000",41400.0,9.26,4473.0,N/A,N/A,0.53,78222.0,3.26
004490,세방전지,일차전지 및 축전지 제조업,"14,000,000","7,000,000,000",30350.0,5.93,5120.0,N/A,N/A,0.39,78266.0,1.65
004540,깨끗한나라,"펄프, 종이 및 판지 제조업","37,240,693","37,606,853,000",4085.0,14.13,289.0,N/A,N/A,0.88,4619.0,N/A
004560,현대비앤지스틸,1차 철강 제조업,"15,078,811","75,943,315,000",7560.0,5.08,1487.0,N/A,N/A,0.28,26623.0,1.32
004690,삼천리,연료용 가스 제조 및 배관공급업,"4,055,025","20,275,125,000",77500.0,22.0,3523.0,N/A,N/A,0.21,377824.0,3.87
004700,조광피혁,"가죽, 가방 및 유사제품 제조업","6,649,138","34,245,690,000",52600.0,22.52,2336.0,N/A,N/A,0.72,73364.0,N/A
004710,한솔테크닉스,전자부품 제조업,"32,109,878","160,549,390,000",10050.0,22.84,440.0,N/A,N/A,1.13,8857.0,N/A
004720,우리들제약,의약품 제조업,"13,706,224","6,853,112,000",15000.0,N/A,-115.0,N/A,N/A,3.03,4947.0,N/A
004770,써니전자,반도체 제조업,"34,845,011","18,372,505,500",3610.0,180.5,20.0,N/A,N/A,2.21,1634.0,N/A
004830,덕성,플라스틱제품 제조업,"15,680,000","8,536,000,000",6070.0,60.7,100.0,N/A,N/A,1.46,4150.0,0.33
004870,티웨이홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","76,680,855","38,340,427,500",1040.0,N/A,-802.0,N/A,N/A,0.57,1823.0,N/A
004890,동일산업,1차 철강 제조업,"2,425,215","12,126,075,000",69000.0,85.82,804.0,N/A,N/A,0.42,163096.0,1.09
004910,조광페인트,기타 화학제품 제조업,"12,800,000","6,400,000,000",5630.0,N/A,-56.0,N/A,N/A,0.35,16283.0,3.55
004920,씨아이테크,그외 기타 제품 제조업,"24,070,772","12,035,386,000",1100.0,N/A,-273.0,N/A,N/A,0.67,1637.0,N/A
004960,한신공영,건물 건설업,"11,570,702","57,853,510,000",15500.0,2.45,6331.0,N/A,N/A,0.34,45052.0,2.26
004970,신라교역,어로 어업,"16,000,000","8,000,000,000",10200.0,21.79,468.0,N/A,N/A,0.32,32228.0,4.9
004980,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업","24,516,073","128,508,590,000",7940.0,22.49,353.0,N/A,N/A,0.52,15286.0,1.89
